"[['Nombre0', 'SOCIEDAD DE EMPRESARIOS CRISTIANOS DEL PERU S.A.'], ['Correo0', 'sodecsa.inmobiliaria@gmail.com']]","[['Nombre1', 'LOGIN GROUP S.A.'], ['Correo1', 'alfredoganoza@gmail.com']]","[['Nombre2', 'KLASS INMOBILIARIA S.A.C.'], ['Correo2', 'juanipareja@speedy.com.pe']]","[['Nombre3', 'EDIMAG PERU S.A.C.'], ['Correo3', 'marcel@fernandezstoll.com']]","[['Nombre4', 'INMOBILIARIA MERCEDES SOLIDORO S.A.C.'], ['Correo4', 'mercedes_solidoro@imsagentes.pe']]","[['Nombre5', 'INVERSIONES TERRENA S.A.C.'], ['Correo5', 'informes@terrena.com.pe']]","[['Nombre6', 'MASSA Y ASOCIADOS BIENES RAICES S.A.C.'], ['Correo6', 'ventas@massayasociados.com']]","[['Nombre7', 'CORPORACION TASSO & ANTEPARRA S.A.C.'], ['Correo7', 'tasso@corporaciontasso.com']]","[['Nombre8', 'MY HOME ORGANIZACIÓN INMOBILIARIA S.A.C.'], ['Correo8', '-']]","[['Nombre9', 'CECI CAYO & ASOCIADOS S.A.C.'], ['Correo9', 'propiedades@cecicayo.com']]"
"[['Nombre0', 'URBANIZADORAS Y CONSTRUCTORAS UNIDAS S.A.C.'], ['Correo0', 'gerencia@urbanizadorasunidas.com']]","[['Nombre1', 'VISOR INMOBILIARIO S.A.C.'], ['Correo1', 'visor@visorinmobiliario.com']]","[['Nombre2', 'INMOBINS S.A.C.'], ['Correo2', 'inmobiliaria@nuevasudamerica.com.pe']]","[['Nombre3', 'BIENES RAICES MARISOL E.I.R.L.'], ['Correo3', 'bienesraicesmarisol@gmail.com']]","[['Nombre4', 'TU SPAZIO S.A.C.'], ['Correo4', 'tuspazio991@gmail.com']]","[['Nombre5', 'PLATAFORMA INMOBILIARIA S.A.C.'], ['Correo5', 'plataformainmobiliaria@gmail.com']]","[['Nombre6', 'SANSEI S.A.C.'], ['Correo6', 'carlos.leandro@sanseisac.com']]","[['Nombre7', 'INMOBILIARIA TU FUTURO E.I.R.L.'], ['Correo7', 'inmobiliariatufuturo@hotmail.com']]","[['Nombre8', 'CONSTRUCTORA AQP S.A.C.'], ['Correo8', 'fannyjab@hotmail.com']]","[['Nombre9', 'INVERSIONES VICENTE TALAVERANO S.A.C. ""INVITA S.A.C.'], ['Correo9', 'invitasac@hotmail.com']]"
"[['Nombre0', 'INMOBILIA PERU S.R.L.'], ['Correo0', 'inmobiliaperu@gmail.com']]","[['Nombre1', 'SOLUCIONES INMOBILIARIAS EIRL'], ['Correo1', 'blasburfc@hotmail.com']]","[['Nombre2', 'EGALLA S.A.C.'], ['Correo2', 'elenacastilloc@hotmail.com']]","[['Nombre3', 'SCS INMOBILIARIA S.R.L.'], ['Correo3', 'scsinmobiliaria@hotmail.com']]","[['Nombre4', 'HOME AND INVESTMENTS SYSTEMS S.R. LTDA.'], ['Correo4', 'carmenzuazorocha@gmail.com']]","[['Nombre5', 'GRUPO CLAUX INMOBILIARIA S.A.C.'], ['Correo5', 'chiqui.claux@grupoclaux.com']]","[['Nombre6', 'PROMOTORA E INMOBILIARIA VIRGEN DE CHAPI'], ['Correo6', 'inmobiliaria-virgenchapi@hotmail.com']]","[['Nombre7', 'CONSTRUCTORA MARTINEZ S.A. CONTRATISTAS GENERALES (COMARSA)'], ['Correo7', 'comarsa@hotmail.com']]","[['Nombre8', 'CENTRO INMOBILIARIO MUNDO URBANO E.I.R.L.'], ['Correo8', '-']]","[['Nombre9', 'INMOBILIARIA CASTA S.R.L.'], ['Correo9', 'gerencia.ml@castainmobiliaria.com']]"
"[['Nombre0', 'EDUARDO IPARRAGUIRRE AGENTES INMOBILIARIOS S.A.C.'], ['Correo0', 'iparraguirre2009@hotmail.com']]","[['Nombre1', 'INMUEBLES A1 SAC'], ['Correo1', 'informes@inmueblesa1.com']]","[['Nombre2', 'MARTORELL Y ASOCIADOS SAC'], ['Correo2', 'pattymartorell@yahoo.es']]","[['Nombre3', 'WOODMAN CONSULTING INC S.R.L.'], ['Correo3', 'informes@woodmanconsulting.com']]","[['Nombre4', 'CONSTRUCTORA E INMOBILIARIA SAN ADRIAN S.A.'], ['Correo4', 'contabilidad@sa.com.pe']]","[['Nombre5', 'ESTRELLA CONSTRUCTORA E INMOBILIARIA E.I.R.L.'], ['Correo5', 'esconsin@gmail.com']]","[['Nombre6', 'SOLPLUNAL E.I.R.L.'], ['Correo6', 'solplunal@yahoo.es']]","[['Nombre7', 'IN SITU SAC'], ['Correo7', 'contacto@insitusac.com']]","[['Nombre8', 'THADDAEUS SRLTDA'], ['Correo8', 'nanyelias@gmail.com']]","[['Nombre9', 'M. CHANG BIENES RAICES E.I.R.L.'], ['Correo9', 'mchangb@gmail.com']]"
"[['Nombre0', 'GRUPO CASELLA S.A.C.'], ['Correo0', 'bcasella@casella.pe']]","[['Nombre1', 'J.E. CONSTRUCCIONES GENERALES S.A.'], ['Correo1', '-']]","[['Nombre2', 'ABBA DEL PERU S.A.'], ['Correo2', 'abba@abbadelperu.com']]","[['Nombre3', 'INVERSIONES PREMON S.A.C.'], ['Correo3', 'inpremon@yahoo.es']]","[['Nombre4', 'NEXO INGENIERIA S.A.C.'], ['Correo4', 'efraincoll@nexoingenieria.com']]","[['Nombre5', 'VALENCIA-DONGO & QUINTANILLA BIENES RAICES SRL'], ['Correo5', 'celina_vdc@star.com.pe']]","[['Nombre6', 'PERUVIAN GLOBAL SERVICES SAC'], ['Correo6', 'Informes@tupropiedadenperu.com']]","[['Nombre7', 'GRUPO ZIMMERMANN SAC'], ['Correo7', 'pattyz007@terra.com.pe']]","[['Nombre8', 'MULTIBIZ SERVICE EIRL (antes LIDERA INMOBILIARIA EIRL)'], ['Correo8', 'ncannata@lidera.pe']]","[['Nombre9', 'L&C PROYECTOS SAC'], ['Correo9', '-']]"
"[['Nombre0', 'MAPAS COMUNITARIOS S.R. LTDA.'], ['Correo0', 'molicasas@molicasas.com.pe']]","[['Nombre1', 'PROYEKTA BIENES RAICES SAC'], ['Correo1', 'inmuebles@proyektabienesraices.com']]","[['Nombre2', 'ESCOBEDO ASOCIADOS CONSTRUCTORA INMOBILIARIA SAC'], ['Correo2', 'escobedoasociados002@hotmail.com']]","[['Nombre3', 'AGENTES CORREDORES GENERALES SAC'], ['Correo3', 'lucygraceya@speedy.com.pe']]","[['Nombre4', 'INMOBILIARIA CONSTRUCTORA BIENES Y RAICES EIRL'], ['Correo4', 'casapropia-inmobiliaria@hotmail.com']]","[['Nombre5', 'INMOBILIARIA LOAYZA EIRL'], ['Correo5', 'efrafree@hotmail.com']]","[['Nombre6', 'DETEC PERU EIRL'], ['Correo6', 'johnsgonzalez1@hotmail.com']]","[['Nombre7', 'INMOBILIARIA CUNZA INGS CONSTRUCTORES EIRL'], ['Correo7', 'lucycunza@hotmail.com']]","[['Nombre8', 'S & T INMOBILIARIA SAC'], ['Correo8', 'itamayo@sytinmobiliaria.com']]","[['Nombre9', 'DISTRIBUIDORA LATINA SRL'], ['Correo9', 'disla2009@hotmail.com']]"
"[['Nombre0', 'RESPLANDECE SAC'], ['Correo0', 'silviaseminario@gmail.com']]","[['Nombre1', 'ANSA CONTRATISTAS SAC'], ['Correo1', 'informes@ansainmobiliaria.com']]","[['Nombre2', 'HOUSE & HOME REAL ESTATE CONSULTING S.A.'], ['Correo2', 'info@househomeperu.com']]","[['Nombre3', 'B & M INMOBILIARIA SRL'], ['Correo3', 'pilarmontagne@terra.com.pe']]","[['Nombre4', 'ESTUDIO CASANAVE SAC'], ['Correo4', 'estudiocasanave@yahoo.es']]","[['Nombre5', 'C & M SOCIEDAD CORREDORA DE BIENES RAICES SRL'], ['Correo5', 'gerenciacym@speedy.com.pe']]","[['Nombre6', 'DREAM HOUSE ASESORES INMOBILIARIOS SAC'], ['Correo6', 'irma.linaresdemahr@hotmail.com']]","[['Nombre7', 'INMOBILIARIA RIGA SAC'], ['Correo7', 'eugeniavalfre@speedy.com.pe']]","[['Nombre8', 'SERVICIOS INMOBILIARIOS CASABELLA EIRL'], ['Correo8', 'amparoavm@hotmail.com']]","[['Nombre9', 'INMOBILIARIA ARCHI S.A.C'], ['Correo9', 'grupoarchi@gmail.com']]"
"[['Nombre0', 'GRUPO INMOLIFE SCRL'], ['Correo0', 'eromero@inmolife.com']]","[['Nombre1', 'TU SITIO INMOBILIARIO S.A.C'], ['Correo1', 'roxana@remax.net.pe']]","[['Nombre2', 'AUTOCASAS SERVICIOS GENERALES EIRL'], ['Correo2', 'autocasas001@hotmail.com']]","[['Nombre3', 'G & F SOLUCIONES INMOBILIARIAS SAC'], ['Correo3', 'gferreyros@gfsolucionesinmobiliarias.com']]","[['Nombre4', 'INTERNATIONAL BUSINESS COMPANY PERU SAC'], ['Correo4', 'ibuscoperu@yahoo.com']]","[['Nombre5', 'FULL OPTIONS SAC'], ['Correo5', 'mildredcarreon@yahoo.com']]","[['Nombre6', 'INMOBILIARIA MARION PENDAVIS EIRL'], ['Correo6', 'marionpendavis@infonegocio.net.pe']]","[['Nombre7', 'ADVENTOURS TRAVEL MILLENIUM EIRL'], ['Correo7', 'dotoya@otoyacontadores.com']]","[['Nombre8', 'SERVICIOS INMOBILIARIOS MOLLY LUDMIR SAC'], ['Correo8', 'molly_inmobiliaria@hotmail.com']]","[['Nombre9', 'FASSIOLI & FLORES SAC'], ['Correo9', 'cecilia@fassioliflores.com']]"
"[['Nombre0', 'RID ASESORES EIRL'], ['Correo0', 'ringa@rid-peru.com']]","[['Nombre1', 'K & G PROMOTORA Y REPRESENTACIONES GENERALES EIRL'], ['Correo1', 'kygperu@gmail.com']]","[['Nombre2', 'IN SITU IN TEMPO SAC'], ['Correo2', 'marytrigo@yahoo.com']]","[['Nombre3', 'NELLA PONCE REALTY PERU SAC'], ['Correo3', 'nellaponce@gmail.com']]","[['Nombre4', 'PARAMETROS SCRL'], ['Correo4', 'alvaro@parametros.com.pe']]","[['Nombre5', 'SERLUZ SAC'], ['Correo5', 'luzsac@hotmail.com']]","[['Nombre6', 'CORRETAJE HNAS. DENEGRI SAC'], ['Correo6', '-']]","[['Nombre7', 'GRAF Y ASOCIADOS SAC'], ['Correo7', 'gerencia@alfredograf.com']]","[['Nombre8', 'RGT GALDOS-TANGUIS BIENES RAICES EIRL'], ['Correo8', 'roxanagt@rgtbienesraices.com']]","[['Nombre9', 'INMOBILIARIA ALTA TORRE SAC'], ['Correo9', 'inmoaltatorrep@hotmail.com']]"
"[['Nombre0', 'NEW IMPORT Y SERVICE EIRL'], ['Correo0', 'marcosrctx@terra.com']]","[['Nombre1', 'ESSEN MARK SA'], ['Correo1', 'gyaiglesias@gmail.com']]","[['Nombre2', 'HOME & BUSINESS SOLUTIONS SAC'], ['Correo2', 'lflores@hbsolutions.com.pe']]","[['Nombre3', 'CARMEN FERRER W. EIRL'], ['Correo3', 'carmenferrer@infonegocio.net.pe']]","[['Nombre4', 'DERWASI INGENIERIA Y CONSTRUCCION S.A.'], ['Correo4', 'farmijo@derwasi.com.pe']]","[['Nombre5', 'EDIFICACIONES INMOBILIARIAS SAC'], ['Correo5', 'esilva@edificacionesinmobiliarias.com']]","[['Nombre6', 'PROYECTOS E INVERSIONES PLAZA SAC'], ['Correo6', 'plazainmuebles@hotmail.com']]","[['Nombre7', 'METROPOLIS INMOBILIARIA Y CONSTRUCTORA SAC'], ['Correo7', 'willymetropolis@hotmail.com']]","[['Nombre8', 'TRANSACCIONES INMOBILIARIAS TABOADA EIRL'], ['Correo8', 'jpablotaboada@gmail.com']]","[['Nombre9', 'TESOROS DEL PERU EIRL'], ['Correo9', 'Jmujica@tesorosdelperu.org']]"
